Gene,TET2_log2FC,DNMT3A_log2FC,Pathway,log2_FC_diff_tet2_minus_dnmt3a
FOS,0.21970951113875792,1.296048991732916,Other,-1.0763394805941582
KLF2,0.21194115562968463,0.9959100535033296,Other,-0.783968897873645
FOSB,0.48968836604839194,1.2500195651490615,Other,-0.7603311991006696
KLF6,0.16251143299798088,0.8989173655173563,Other,-0.7364059325193755
CD69,0.2311979378360096,0.955259746481028,Other,-0.7240618086450183
PPP1R15A,0.2593050650056643,0.966143372628384,Other,-0.7068383076227197
TUBA1A,0.10859062207269243,0.8115595062987873,Other,-0.7029688842260948
DUSP1,0.5835247881811543,1.2654860933790868,Other,-0.6819613051979325
JUNB,0.3496659553037311,0.9804357605769752,Other,-0.6307698052732441
CD52,0.31976305689579165,0.9490646914347448,Other,-0.6293016345389532
JUN,0.6874083906207904,1.253802560642252,Other,-0.5663941700214616
TNFAIP3,0.13704042877888423,0.68030941145873,Other,-0.5432689826798458
PMAIP1,0.29917875125052196,0.8415136225335764,Other,-0.5423348712830545
ARL4A,0.05538947869223276,0.5902892679903023,Other,-0.5348997892980696
LTB,-0.5227326572172324,-0.00159868300137455,Other,-0.5211339742158578
BTG2,0.24931064852242743,0.7645544699400804,Other,-0.5152438214176529
YPEL5,0.35528912025356485,0.8686684005735792,Other,-0.5133792803200143
HOPX,-0.15409777452764217,0.35898656459958755,Other,-0.5130843391272297
IER2,0.4227355920975939,0.9120026676122128,Other,-0.4892670755146189
ZFP36,0.2754973690824256,0.7502994757919246,Other,-0.47480210670949896
MYADM,0.16081830312745993,0.6347511543355762,Other,-0.47393285120811623
AC020916.1,0.3793844971931055,0.8409736027932682,Other,-0.46158910560016264
NFKBIA,0.27746577039276676,0.731499738966543,Other,-0.4540339685737762
S100A4,0.49507361845922615,0.9488495938628012,Monocyte activation,-0.45377597540357506
PTGDS,0.07329073788111751,0.5263370958427637,Other,-0.45304635796164616
DNAJB1,0.2765500681961037,0.7182313812708183,Other,-0.4416813130747146
ZFP36L2,-0.10051886531913644,0.3409045252617178,Other,-0.4414233905808542
IL32,0.3644441593471148,0.7996281288348244,Other,-0.43518396948770954
